"GridSquares","6M","10M","12M","15M","17M","20M","30M","40M","80M","160M","","","","","","","","",""
"AE15","","","","","C","","","","","","","","","C","W","","","C","W"
"AE16","","C","","C","","","","C","","","","","","C","W","","","C","W"
"AG10","","C","C","","C","C","C","C","","","","","","C","W","","","C","W"
"AG28","","","","C","","","C","","","","","","","C","W","","","C","W"
"AH03","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"AH16","","","","","C","C","","C","C","C","","","","C","W","","","C","W"
"AH48","","","C","C","C","C","C","C","C","","","","","C","W","","","C","W"
"AH50","","C","C","","C","","","","","","","","","C","W","","","C","W"
"AH51","","C","","","","","","","","","","","","C","W","","","C","W"
"AI47","","C","C","C","C","","C","","","","","","","C","W","","","C","W"
"BG08","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"BG56","","","","","","C","","","","","","","","C","W","","","C","W"
"BG66","","","","","","","C","","","","","","","C","W","","","C","W"
"BH52","","C","C","C","C","C","","","","","","","","C","W","","","C","W"
"BI91","","C","C","C","C","","C","C","","","","","","C","W","","","C","W"
"BJ03","","","","C","C","C","","C","","","","","","C","W","","","C","W"
"BJ12","","C","C","C","C","C","C","C","C","","","","","C","W","","","C","W"
"BK29","","C","C","C","","C","","C","C","C","","","","C","W","","","C","W"
"BL01","","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"BL02","","","","C","","C","","","","","","","","C","W","","","C","W"
"BL10","","","","C","","C","","C","","","","","","C","W","","","C","W"
"BL11","","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"BL20","","","","C","","","","","","","","","","C","W","","","C","W"
"BO49","","","","","","C","","","","","","","","C","W","","","C","W"
"BP40","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"BP42","","","","C","","C","","","","","","","","C","W","","","C","W"
"BP51","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"BP53","","C","","C","","C","","","","","","","","C","W","","","C","W"
"BP61","","","","C","","C","","","C","","","","","C","W","","","C","W"
"BP64","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"CG44","","C","C","C","C","","C","C","C","C","","","","C","W","","","C","W"
"CM79","C","","","","","","","","","","","","","C","W","","","C","W"
"CM86","","","","","","C","","","","","","","","C","W","","","C","W"
"CM87","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CM88","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CM89","C","C","","C","","C","","","","","","","","C","W","","","C","W"
"CM94","C","","","C","","C","","","","","","","","C","W","","","C","W"
"CM95","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"CM96","W","C","","C","","C","","C","","","","","","C","W","","","C","W"
"CM97","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CM98","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CM99","C","C","","C","C","C","","C","C","C","","","","C","W","","","C","W"
"CN70","C","","","","","","","","","","","","","C","W","","","C","W"
"CN71","C","","","","","","","","","","","","","C","W","","","C","W"
"CN73","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"CN78","C","","","","","","","","","","","","","C","W","","","C","W"
"CN79","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"CN80","C","","","C","","C","","","","","","","","C","W","","","C","W"
"CN81","C","","","C","","C","","C","","","","","","C","W","","","C","W"
"CN82","","","","","","C","C","","C","","","","","C","W","","","C","W"
"CN84","C","C","","","","C","","C","C","C","","","","C","W","","","C","W"
"CN85","C","C","C","C","","C","","C","C","C","","","","C","W","","","C","W"
"CN86","C","","","","","C","","","","","","","","C","W","","","C","W"
"CN87","C","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"CN88","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CN89","W","C","","C","","C","","","C","C","","","","C","W","","","C","W"
"CN90","C","","","","","","","","","","","","","C","W","","","C","W"
"CN91","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CN93","C","","","","C","","","","","","","","","C","W","","","C","W"
"CN94","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"CN96","C","","","","","","","","","","","","","C","W","","","C","W"
"CN97","C","","","","","C","","C","C","","","","","C","W","","","C","W"
"CN99","","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"CO28","","","","C","","C","","C","","","","","","C","W","","","C","W"
"CO60","W","","","","","","","","","","","","","","W","","","","W"
"CO90","W","","","","","","","","","","","","","","W","","","","W"
"CP20","","","","C","","C","","C","","","","","","C","W","","","C","W"
"CP38","","","","C","","","","C","","","","","","C","W","","","C","W"
"DG52","","","","","C","C","C","","C","","","","","C","W","","","C","W"
"DH28","","","","","","C","","","","","","","","C","W","","","C","W"
"DK48","","C","C","C","C","C","C","C","C","C","","","","C","W","","","C","W"
"DK50","","C","C","C","C","C","C","C","","C","","","","C","W","","","C","W"
"DL44","","","","C","","C","","","","","","","","C","W","","","C","W"
"DL49","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DL63","","","","","C","","","","","","","","","C","W","","","C","W"
"DL79","C","","","","","","","","","","","","","C","W","","","C","W"
"DL80","","C","","","","","","","","","","","","C","W","","","C","W"
"DL81","","C","","C","","C","","","C","","","","","C","W","","","C","W"
"DL82","C","","","","","","","","","","","","","C","W","","","C","W"
"DL90","","","","C","","","","","","","","","","C","W","","","C","W"
"DL91","","C","","C","","C","","C","","","","","","C","W","","","C","W"
"DL92","","","","","","C","","","","","","","","C","W","","","C","W"
"DL95","W","","","","","W","","","","","","","","","W","","","","W"
"DL99","C","","","","","C","","","C","","","","","C","W","","","C","W"
"DM03","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM04","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM05","C","","","","","","","","","","","","","C","W","","","C","W"
"DM06","C","C","","C","","C","","","C","","","","","C","W","","","C","W"
"DM07","C","","","C","","C","","C","","C","","","","C","W","","","C","W"
"DM08","C","","","","","","","","","","","","","C","W","","","C","W"
"DM09","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM12","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM13","C","C","","C","W","C","","C","C","C","","","","C","W","","","C","W"
"DM14","C","C","","C","","C","","C","","C","","","","C","W","","","C","W"
"DM15","C","","","C","","","","","","","","","","C","W","","","C","W"
"DM16","C","","","","","","","","","","","","","C","W","","","C","W"
"DM17","C","","","","","","","","","","","","","C","W","","","C","W"
"DM22","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM23","","","","","","C","","","","","","","","C","W","","","C","W"
"DM24","C","","","C","","","","","C","","","","","C","W","","","C","W"
"DM25","C","","","","","C","","C","","","","","","C","W","","","C","W"
"DM26","","","","C","W","C","","","","","","","","C","W","","","C","W"
"DM30","C","","","","","","","","","","","","","C","W","","","C","W"
"DM31","C","","","","","","","","","","","","","C","W","","","C","W"
"DM33","C","C","C","C","","C","","C","","","","","","C","W","","","C","W"
"DM34","C","","","","","C","","","C","","","","","C","W","","","C","W"
"DM35","C","","","C","C","C","","C","","C","","","","C","W","","","C","W"
"DM37","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM41","C","C","","C","","C","","C","","C","","","","C","W","","","C","W"
"DM42","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM43","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM44","","C","","C","","","","","","","","","","C","W","","","C","W"
"DM45","C","","","C","","C","","","","","","","","C","W","","","C","W"
"DM46","C","","","","","","","","","","","","","C","W","","","C","W"
"DM49","","","","C","","","","C","C","","","","","C","W","","","C","W"
"DM51","","","","","","C","","","","","","","","C","W","","","C","W"
"DM52","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM53","C","","","","","","","","","","","","","C","W","","","C","W"
"DM54","C","C","","","","","","","","","","","","C","W","","","C","W"
"DM55","W","","","","","","","C","","","","","","C","W","","","C","W"
"DM56","","","","C","","C","","C","","","","","","C","W","","","C","W"
"DM59","C","","","","","","","","","","","","","C","W","","","C","W"
"DM61","C","","","","","","","","","","","","","C","W","","","C","W"
"DM62","C","","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM63","C","","","","","","","","","","","","","C","W","","","C","W"
"DM64","C","","","","","C","","C","","","","","","C","W","","","C","W"
"DM65","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM66","C","","","","","","","","C","C","","","","C","W","","","C","W"
"DM67","C","","","C","C","C","","C","","","","","","C","W","","","C","W"
"DM68","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM69","C","","","C","","C","","C","","C","","","","C","W","","","C","W"
"DM70","C","","","","","","","","","","","","","C","W","","","C","W"
"DM72","C","","","","","C","","","","","","","","C","W","","","C","W"
"DM73","C","C","","C","","C","","","","","","","","C","W","","","C","W"
"DM75","C","","","","","","","","","","","","","C","W","","","C","W"
"DM77","C","","","","","C","","C","","","","","","C","W","","","C","W"
"DM78","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM79","C","","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DM80","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DM81","C","","","","","","","C","","","","","","C","W","","","C","W"
"DM82","C","","","C","","C","","","","C","","","","C","W","","","C","W"
"DM83","C","","","","","","","","","","","","","C","W","","","C","W"
"DM84","C","C","","","","C","","C","C","","","","","C","W","","","C","W"
"DM85","W","","","","","","","","","","","","","","W","","","","W"
"DM87","C","","","","","","","","","","","","","C","W","","","C","W"
"DM88","C","","","","","","","","","","","","","C","W","","","C","W"
"DM89","C","","","","","","","","","","","","","C","W","","","C","W"
"DM90","C","","","","","","","","","","","","","C","W","","","C","W"
"DM91","C","","","","","","","C","C","","","","","C","W","","","C","W"
"DM92","C","C","","","","C","","C","","","","","","C","W","","","C","W"
"DM93","C","","","","","","","C","","","","","","C","W","","","C","W"
"DM94","W","","","","","","","","","","","","","","W","","","","W"
"DM95","C","","","C","","C","","","","","","","","C","W","","","C","W"
"DM96","C","","","","","","","","","","","","","C","W","","","C","W"
"DM97","W","","","","","","","","","","","","","","W","","","","W"
"DM98","C","","","","","","","","","","","","","C","W","","","C","W"
"DM99","C","","","","","C","","","","","","","","C","W","","","C","W"
"DN00","W","","","","","","","","","","","","","","W","","","","W"
"DN01","C","","","","","","","","","","","","","C","W","","","C","W"
"DN02","C","","","","","","","","","","","","","C","W","","","C","W"
"DN03","C","","","","","","W","","","","","","","C","W","","","C","W"
"DN05","W","","","","","","","","","","","","","","W","","","","W"
"DN06","","C","","C","","C","","","","","","","","C","W","","","C","W"
"DN07","","C","","","","","","","","","","","","C","W","","","C","W"
"DN08","C","","","","","C","","C","","","","","","C","W","","","C","W"
"DN09","C","","","","","C","","","","","","","","C","W","","","C","W"
"DN12","C","","","","","","","","","","","","","C","W","","","C","W"
"DN13","C","C","","C","","C","","C","C","","","","","C","W","","","C","W"
"DN14","W","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DN15","","","","","","","","C","","","","","","C","W","","","C","W"
"DN16","","","","","","C","","","","","","","","C","W","","","C","W"
"DN17","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DN18","C","","","C","","C","","","","C","","","","C","W","","","C","W"
"DN20","C","","","","","","","","","","","","","C","W","","","C","W"
"DN21","C","","","","","","","","","","","","","C","W","","","C","W"
"DN22","C","","","","","","","","","","","","","C","W","","","C","W"
"DN26","C","","","","","C","","","","","","","","C","W","","","C","W"
"DN27","C","","","","","","","","","","","","","C","W","","","C","W"
"DN28","C","","","","C","C","","","","","","","","C","W","","","C","W"
"DN30","C","C","","C","","","","C","","","","","","C","W","","","C","W"
"DN31","C","C","","C","","C","","","C","","","","","C","W","","","C","W"
"DN32","C","","","C","","C","","C","","","","","","C","W","","","C","W"
"DN33","C","C","","C","","C","","C","C","C","","","","C","W","","","C","W"
"DN35","C","","","","","","","","","","","","","C","W","","","C","W"
"DN36","C","","","C","","C","","","C","C","","","","C","W","","","C","W"
"DN37","","","","","","","","C","","","","","","C","W","","","C","W"
"DN38","C","","","","","","","","","","","","","C","W","","","C","W"
